# RussianDoll Interpolation Data - Frame 15
# =================================================
# Z range: [0, 1]
# Polynomial order: 5
# Leakage coefficient (gamma): 1
#
# Pressure polynomial coefficients p_v(t) = sum_i c_i * t^i
# where t = (z - z_min) / (z_max - z_min)
[pressure_coefficients]
c0 = 0.0111621966258
c1 = -0.00200051199232
c2 = 0.00776907099218
c3 = 0.0183992609668
c4 = -0.0704219543488
c5 = 0.0469254216941

[displacement_x_coefficients]
c0 = 0.017122466648
c1 = 0.00785920434855
c2 = -0.0427738339652
c3 = 0.0631865166158
c4 = -0.0245996938255
c5 = -0.000922422226399

[displacement_y_coefficients]
c0 = -0.0042887107894
c1 = -0.00700977676771
c2 = 0.0223467915608
c3 = -0.0186828869504
c4 = -0.0296151749021
c5 = 0.0377800128875

[displacement_z_coefficients]
c0 = 0.00232819116592
c1 = -0.0122696268698
c2 = 0.00436270761094
c3 = -0.00601506117392
c4 = 0.0103296242769
c5 = -0.0113279271784

# Polynomial values at sampled z:
# z	t	p_v(z)	u_x(z)	u_y(z)	u_z(z)
[sampled_values]
0	0	0.0111621966258	0.017122466648	-0.0042887107894	0.00232819116592
0.02	0.02	0.011125430091	0.0172630427546	-0.00442012168876	0.00208449720757
0.04	0.04	0.0110956087373	0.0173723775549	-0.00453461464455	0.00184402674325
0.06	0.06	0.0110732326228	0.0174533618649	-0.00463323888436	0.00160654511126
0.08	0.08	0.0110585674243	0.0175087913289	-0.00471712834297	0.00137184861579
0.1	0.1	0.0110516624562	0.0175413660662	-0.00478748715488	0.00113976017704
0.12	0.12	0.0110523686901	0.0175536903161	-0.00484557514675	0.000910124981251
0.14	0.14	0.0110603567742	0.0175482720842	-0.00489269332991	0.000682806130818
0.16	0.16	0.0110751350524	0.0175275227879	-0.00493016939277	0.000457680294338
0.18	0.18	0.011096067584	0.0174937569026	-0.00495934319338	0.000234633356701
0.2	0.2	0.0111223921627	0.0174491916067	-0.00498155225184	1.35560691581e-05
0.22	0.22	0.0111532383363	0.0173959464284	-0.00499811724279	-0.000205660300594
0.24	0.24	0.011187645426	0.0173360428906	-0.0050103274879	-0.000423128318345
0.26	0.26	0.0112245805454	0.0172714041572	-0.00501942644836	-0.00063896873329
0.28	0.28	0.0112629566203	0.0172038546788	-0.00502659721729	-0.000853314827956
0.3	0.3	0.0113016504079	0.0171351198383	-0.0050329480123	-0.00106631676812
0.32	0.32	0.0113395205163	0.017066825597	-0.00503949766788	-0.00127814595276
0.34	0.34	0.0113754254233	0.0170004981402	-0.00504716112795	-0.00148899936392
0.36	0.36	0.0114082414967	0.0169375635229	-0.00505673493829	-0.00169910391671
0.38	0.38	0.0114368810128	0.0168793473157	-0.00506888273903	-0.00190872080916
0.4	0.4	0.0114603101763	0.0168270742508	-0.00508412075711	-0.00211814987219
0.42	0.42	0.0114775671392	0.0167818678674	-0.0051028032988	-0.00232773391953
0.44	0.44	0.0114877800209	0.0167447501577	-0.0051251082421	-0.00253786309761
0.46	0.46	0.0114901849266	0.0167166412127	-0.00515102252929	-0.00274897923552
0.48	0.48	0.0114841439675	0.0166983588679	-0.00518032765937	-0.00296158019493
0.5	0.5	0.0114691632796	0.0166906183492	-0.00521258518051	-0.00317622422
0.52	0.52	0.0114449110435	0.0166940319187	-0.00524712218258	-0.00339353428728
0.54	0.54	0.0114112355034	0.0167091085201	-0.0052830167896	-0.00361420245572
0.56	0.56	0.0113681829865	0.0167362534253	-0.0053190836522	-0.0038389942165
0.58	0.58	0.0113160159227	0.0167757678793	-0.0053538594401	-0.00406875284299
0.6	0.6	0.0112552308637	0.0168278487465	-0.00538558833461	-0.00430440374068
0.62	0.62	0.0111865765022	0.0168925881566	-0.00541220752109	-0.00454695879713
0.64	0.64	0.0111110716916	0.0169699731498	-0.00543133268141	-0.00479752073182
0.66	0.66	0.0110300234652	0.0170598853233	-0.00544024348645	-0.00505728744614
0.68	0.68	0.0109450450556	0.0171621004765	-0.00543586908854	-0.0053275563733
0.7	0.7	0.0108580739139	0.0172762882571	-0.00541477361399	-0.00560972882821
0.72	0.72	0.0107713897294	0.0174020118071	-0.00537314165552	-0.00590531435749
0.74	0.74	0.0106876324486	0.0175387274079	-0.00530676376475	-0.00621593508931
0.76	0.76	0.0106098202948	0.0176857841268	-0.00521102194465	-0.00654333008335
0.78	0.78	0.0105413677875	0.0178424234623	-0.00508087514208	-0.00688935968074
0.8	0.8	0.0104861037613	0.0180077789903	-0.0049108447402	-0.00725600985395
0.82	0.82	0.0104482893861	0.0181808760096	-0.00469500005096	-0.00764539655674
0.84	0.84	0.0104326361855	0.0183606311877	-0.00442694380761	-0.00805977007406
0.86	0.86	0.0104443240569	0.0185458522067	-0.00409979765712	-0.00850151937201
0.88	0.88	0.0104890192906	0.0187352374091	-0.00370618765271	-0.00897317644772
0.9	0.9	0.010572892589	0.0189273754434	-0.00323822974628	-0.00947742067931
0.92	0.92	0.0107026370863	0.0191207449103	-0.00268751528091	-0.0100170831758
0.94	0.94	0.0108854863676	0.0193137140079	-0.00204509648333	-0.010595151127
0.96	0.96	0.0111292324883	0.0195045401781	-0.00130147195639	-0.0112147721536
0.98	0.98	0.0114422439936	0.0196913697518	-0.000446572171555	-0.0118792586567
1	1	0.0118334839377	0.0198722375953	0.000530255038662	-0.0125920921683
