# RussianDoll Interpolation Data - Frame 2
# =================================================
# Z range: [0, 1]
# Polynomial order: 3
# Leakage coefficient (gamma): 1
#
# Pressure polynomial coefficients p_v(t) = sum_i c_i * t^i
# where t = (z - z_min) / (z_max - z_min)
[pressure_coefficients]
c0 = -0.0174985686792
c1 = 0.21231770036
c2 = -0.456357444914
c3 = 0.219790094292

[displacement_x_coefficients]
c0 = -5.03169927301e+13
c1 = -859521122513
c2 = 101.783375294
c3 = -59.184162493

[displacement_y_coefficients]
c0 = 9.90847066235e+12
c1 = 5.96725050114e+12
c2 = 128.960330212
c3 = -80.8951081837

[displacement_z_coefficients]
c0 = 1.71740246619e+13
c1 = 19.7942998818
c2 = -39.7632094501
c3 = 22.8568598409

# Polynomial values at sampled z:
# z	t	p_v(z)	u_x(z)	u_y(z)	u_z(z)
[sampled_values]
0	0	-0.0174985686792	-5.03169927301e+13	9.90847066235e+12	1.71740246619e+13
0.02	0.02	-0.0134329993292	-5.03341831526e+13	1.00278156724e+13	1.71740246619e+13
0.04	0.04	-0.00972196601062	-5.0351373575e+13	1.01471606824e+13	1.71740246619e+13
0.06	0.06	-0.00635491879893	-5.03685639975e+13	1.02665056924e+13	1.71740246619e+13
0.08	0.08	-0.00332130776958	-5.03857544199e+13	1.03858507024e+13	1.71740246619e+13
0.1	0.1	-0.000610582998061	-5.04029448424e+13	1.05051957125e+13	1.71740246619e+13
0.12	0.12	0.00178780544016	-5.04201352648e+13	1.06245407225e+13	1.71740246619e+13
0.14	0.14	0.0038844074696	-5.04373256873e+13	1.07438857325e+13	1.71740246619e+13
0.16	0.16	0.00568977301479	-5.04545161097e+13	1.08632307425e+13	1.71740246619e+13
0.18	0.18	0.00721445200027	-5.04717065322e+13	1.09825757526e+13	1.71740246619e+13
0.2	0.2	0.00846899435054	-5.04888969546e+13	1.11019207626e+13	1.71740246619e+13
0.22	0.22	0.00946394999014	-5.05060873771e+13	1.12212657726e+13	1.71740246619e+13
0.24	0.24	0.0102098688436	-5.05232777995e+13	1.13406107826e+13	1.71740246619e+13
0.26	0.26	0.0107173008354	-5.0540468222e+13	1.14599557927e+13	1.71740246619e+13
0.28	0.28	0.0109967958902	-5.05576586444e+13	1.15793008027e+13	1.71740246619e+13
0.3	0.3	0.0110589039324	-5.05748490669e+13	1.16986458127e+13	1.71740246619e+13
0.32	0.32	0.0109141748865	-5.05920394893e+13	1.18179908227e+13	1.71740246619e+13
0.34	0.34	0.0105731586771	-5.06092299118e+13	1.19373358327e+13	1.71740246619e+13
0.36	0.36	0.0100464052288	-5.06264203342e+13	1.20566808428e+13	1.71740246619e+13
0.38	0.38	0.00934446446594	-5.06436107567e+13	1.21760258528e+13	1.71740246619e+13
0.4	0.4	0.00847788631318	-5.06608011791e+13	1.22953708628e+13	1.71740246619e+13
0.42	0.42	0.007457220695	-5.06779916016e+13	1.24147158728e+13	1.71740246619e+13
0.44	0.44	0.00629301753595	-5.0695182024e+13	1.25340608829e+13	1.71740246619e+13
0.46	0.46	0.00499582676053	-5.07123724465e+13	1.26534058929e+13	1.71740246619e+13
0.48	0.48	0.00357619829328	-5.07295628689e+13	1.27727509029e+13	1.71740246619e+13
0.5	0.5	0.00204468205872	-5.07467532914e+13	1.28920959129e+13	1.71740246619e+13
0.52	0.52	0.000411827981386	-5.07639437138e+13	1.3011440923e+13	1.71740246619e+13
0.54	0.54	-0.00131181401421	-5.07811341363e+13	1.3130785933e+13	1.71740246619e+13
0.56	0.56	-0.00311569400353	-5.07983245587e+13	1.3250130943e+13	1.71740246619e+13
0.58	0.58	-0.00498926206205	-5.08155149812e+13	1.3369475953e+13	1.71740246619e+13
0.6	0.6	-0.00692196826525	-5.08327054036e+13	1.34888209631e+13	1.71740246619e+13
0.62	0.62	-0.0089032626886	-5.08498958261e+13	1.36081659731e+13	1.71740246619e+13
0.64	0.64	-0.0109225954076	-5.08670862485e+13	1.37275109831e+13	1.71740246619e+13
0.66	0.66	-0.0129694164976	-5.0884276671e+13	1.38468559931e+13	1.71740246619e+13
0.68	0.68	-0.0150331760343	-5.09014670934e+13	1.39662010032e+13	1.71740246619e+13
0.7	0.7	-0.017103324093	-5.09186575159e+13	1.40855460132e+13	1.71740246619e+13
0.72	0.72	-0.0191693107492	-5.09358479383e+13	1.42048910232e+13	1.71740246619e+13
0.74	0.74	-0.0212205860784	-5.09530383608e+13	1.43242360332e+13	1.71740246619e+13
0.76	0.76	-0.0232466001561	-5.09702287832e+13	1.44435810433e+13	1.71740246619e+13
