# RussianDoll Interpolation Data - Frame 23
# =================================================
# Z range: [0, 1]
# Polynomial order: 5
# Leakage coefficient (gamma): 1
#
# Pressure polynomial coefficients p_v(t) = sum_i c_i * t^i
# where t = (z - z_min) / (z_max - z_min)
[pressure_coefficients]
c0 = 0.0111824497807
c1 = -0.00203530850828
c2 = 0.00796357896897
c3 = 0.0197980933233
c4 = -0.0737269794128
c5 = 0.0486758029421

[displacement_x_coefficients]
c0 = 0.0172345557197
c1 = 0.00686383214261
c2 = -0.0383940521309
c3 = 0.054277873005
c4 = -0.0135470976494
c5 = -0.00732479470148

[displacement_y_coefficients]
c0 = -0.00413348423987
c1 = -0.00837060499805
c2 = 0.0280445551153
c3 = -0.029663736303
c4 = -0.0160824340942
c5 = 0.0296670396266

[displacement_z_coefficients]
c0 = 0.00267355787765
c1 = -0.0121908100696
c2 = 0.00406962627068
c3 = 0.00355256544803
c4 = -0.00505785254491
c5 = -0.00340902515058

# Polynomial values at sampled z:
# z	t	p_v(z)	u_x(z)	u_y(z)	u_z(z)
[sampled_values]
0	0	0.0111824497807	0.0172345557197	-0.00413348423987	0.00267355787765
0.02	0.02	0.0111450757863	0.0173569067737	-0.00428991830593	0.00243139712713
0.04	0.04	0.011114862488	0.0174511168752	-0.00442537376386	0.00219265094391
0.06	0.06	0.0110923588913	0.017519709815	-0.00454135286763	0.00195745908156
0.08	0.08	0.011077868273	0.0175651517374	-0.00463939684351	0.0017259392534
0.1	0.1	0.011071466873	0.0175898483279	-0.00472107449784	0.00149818582334
0.12	0.12	0.0110730225854	0.0175961420002	-0.00478797082496	0.00127426849694
0.14	0.14	0.0110822136505	0.0175863090833	-0.00484167561504	0.00105423101222
0.16	0.16	0.0110985473459	0.0175625570095	-0.00488377206193	0.000838089830685
0.18	0.18	0.0111213786781	0.0175270215007	-0.00491582537104	0.00062583282822
0.2	0.2	0.0111499290743	0.0174817637565	-0.00493937136716	0.000417417986027
0.22	0.22	0.0111833050734	0.017428767641	-0.00495590510235	0.000212772081568
0.24	0.24	0.0112205170179	0.0173699368703	-0.00496686946378	1.17893794895e-05
0.26	0.26	0.0112604977454	0.0173070921997	-0.00497364378159	-0.000185669677433
0.28	0.28	0.0113021212797	0.017241968611	-0.00497753243677	-0.00037977977737
0.3	0.3	0.0113442215231	0.0171762124997	-0.00497975346896	-0.000570752048495
0.32	0.32	0.0113856109468	0.0171113788625	-0.00498142718436	-0.000758835368058
0.34	0.34	0.0114250992836	0.0170489284843	-0.00498356476358	-0.000944317671446
0.36	0.36	0.0114615122184	0.0169902251256	-0.00498705686947	-0.00112752726125
0.38	0.38	0.0114937100804	0.0169365327098	-0.00499266225498	-0.00130883411633
0.4	0.4	0.0115206065343	0.0168890125105	-0.00500099637107	-0.00148865120089
0.42	0.42	0.0115411872717	0.0168487203388	-0.00501251997448	-0.00166743577352
0.44	0.44	0.011554528703	0.0168166037305	-0.00502752773566	-0.0018456906963
0.46	0.46	0.0115598166484	0.0167934991331	-0.0050461368466	-0.0020239657438
0.48	0.48	0.0115563650301	0.0167801290939	-0.00506827562867	-0.00220285891225
0.5	0.5	0.0115436345629	0.0167770994464	-0.0050936721405	-0.00238301772848
0.52	0.52	0.0115212514465	0.016784896498	-0.00512184278584	-0.0025651405591
0.54	0.54	0.0114890260567	0.0168038842172	-0.00515208092139	-0.00274997791949
0.56	0.56	0.0114469716368	0.016834301421	-0.00518344546468	-0.00293833378289
0.58	0.58	0.0113953229893	0.016876258962	-0.00521474950193	-0.00313106688947
0.6	0.6	0.0113345551673	0.0169297369158	-0.00524454889589	-0.00332909205541
0.62	0.62	0.011265402166	0.0169945817682	-0.00527113089369	-0.00353338148192
0.64	0.64	0.0111888756145	0.0170705036025	-0.00529250273472	-0.00374496606435
0.66	0.66	0.0111062834666	0.0171570732867	-0.00530638025849	-0.00396493670124
0.68	0.68	0.0110192486932	0.017253719661	-0.00531017651246	-0.00419444560336
0.7	0.7	0.0109297279731	0.017359726725	-0.00530099035992	-0.00443470760285
0.72	0.72	0.0108400303849	0.0174742308247	-0.00527559508782	-0.00468700146218
0.74	0.74	0.0107528360984	0.0175962178403	-0.00523042701466	-0.00495267118331
0.76	0.76	0.0106712150661	0.0177245203728	-0.00516157409833	-0.0052331273167
0.78	0.78	0.0105986457146	0.0178578149321	-0.00506476454397	-0.00552984827041
0.8	0.8	0.0105390336364	0.0179946191236	-0.0049353554118	-0.00584438161913
0.82	0.82	0.0104967302809	0.0181332888356	-0.00476832122505	-0.00617834541328
0.84	0.84	0.0104765516467	0.0182720154269	-0.00455824257771	-0.00653342948803
0.86	0.86	0.0104837969723	0.0184088229139	-0.0042992947425	-0.00691139677245
0.88	0.88	0.010524267428	0.0185415651577	-0.00398523627862	-0.00731408459846
0.9	0.9	0.0106042848074	0.0186679230516	-0.00360939763971	-0.00774340601
0.92	0.92	0.0107307102189	0.0187854017083	-0.00316466978162	-0.00820135107204
0.94	0.94	0.010910962777	0.0188913276474	-0.00264349277031	-0.00868998817965
0.96	0.96	0.0111530382944	0.0189828459821	-0.00203784438971	-0.00921146536709
0.98	0.98	0.0114655279725	0.0190569176071	-0.00133922874954	-0.00976801161685
1	1	0.011857637094	0.0191103163855	-0.000538664893231	-0.0103619381687
