# RussianDoll Interpolation Data - Frame 3
# =================================================
# Z range: [0, 1]
# Polynomial order: 3
# Leakage coefficient (gamma): 1
#
# Pressure polynomial coefficients p_v(t) = sum_i c_i * t^i
# where t = (z - z_min) / (z_max - z_min)
[pressure_coefficients]
c0 = 0.0365455537826
c1 = -0.00258549883674
c2 = 0.0198415903089
c3 = -0.0137662199876

[displacement_x_coefficients]
c0 = 0.0174682094294
c1 = -0.00556522367545
c2 = 0.00932808652307
c3 = -0.00371059214464

[displacement_y_coefficients]
c0 = -0.00522285660279
c1 = -0.000256681901262
c2 = -0.00867372730792
c3 = 0.0103952962216

[displacement_z_coefficients]
c0 = 0.00504569836628
c1 = -0.0211714130749
c2 = 0.029248016416
c3 = -0.0209777368446

# Polynomial values at sampled z:
# z	t	p_v(z)	u_x(z)	u_y(z)	u_z(z)
[sampled_values]
0	0	0.0365455537826	0.0174682094294	-0.00522285660279	0.00504569836628
0.02	0.02	0.0365016703123	0.0173606065058	-0.00523137656937	0.00463380148945
0.04	0.04	0.0364729993356	0.0172602879429	-0.00524633654358	0.00424429609439
0.06	0.06	0.036458880074	0.0171670756325	-0.00526723755119	0.00387617524972
0.08	0.08	0.036458651749	0.017080791466	-0.005293580618	0.00352843202408
0.1	0.1	0.0364716535821	0.017001257335	-0.00532486676977	0.0032000594861
0.12	0.12	0.0364972247945	0.0169282951311	-0.0053605970323	0.00289005070441
0.14	0.14	0.0365347046079	0.0168617267459	-0.00540027243137	0.00259739874764
0.16	0.16	0.0365834322436	0.0168013740709	-0.00544339399275	0.00232109668443
0.18	0.18	0.0366427469231	0.0167470589978	-0.00548946274223	0.0020601375834
0.2	0.2	0.0367119878677	0.0166986034181	-0.00553797970559	0.00181351451318
0.22	0.22	0.0367904942991	0.0166558292234	-0.0055884459086	0.00158022054241
0.24	0.24	0.0368776054385	0.0166185583052	-0.00564036237706	0.00135924873972
0.26	0.26	0.0369726605075	0.0165866125552	-0.00569323013674	0.00114959217374
0.28	0.28	0.0370749987274	0.0165598138649	-0.00574655021343	0.000950243913106
0.3	0.3	0.0371839593197	0.016537984126	-0.0057998236329	0.000760197026442
0.32	0.32	0.037298881506	0.0165209452298	-0.00585255142093	0.000578444582382
0.34	0.34	0.0374191045075	0.0165085190682	-0.00590423460332	0.000403979649559
0.36	0.36	0.0375439675457	0.0165005275325	-0.00595437420583	0.000235795296603
0.38	0.38	0.0376728098421	0.0164967925145	-0.00600247125426	7.28845921463e-05
0.4	0.4	0.0378049706182	0.0164971359057	-0.00604802677438	-8.57593951799e-05
0.42	0.42	0.0379397890953	0.0165013795976	-0.00609054179197	-0.000241143596744
0.44	0.44	0.0380766044949	0.0165093454818	-0.00612951733282	-0.000394274943915
0.46	0.46	0.0382147560384	0.01652085545	-0.0061644544227	-0.000546160368061
0.48	0.48	0.0383535829473	0.0165357313937	-0.0061948540874	-0.00069780680055
0.5	0.5	0.038492424443	0.0165537952044	-0.0062202173527	-0.000850221172752
0.52	0.52	0.0386306197471	0.0165748687737	-0.00624004524438	-0.00100441041603
0.54	0.54	0.0387675080808	0.0165987739933	-0.00625383878822	-0.00116138146177
0.56	0.56	0.0389024286656	0.0166253327547	-0.00626109901	-0.00132214124132
0.58	0.58	0.039034720723	0.0166543669495	-0.00626132693551	-0.00148769668605
0.6	0.6	0.0391637234745	0.0166856984692	-0.00625402359053	-0.00165905472734
0.62	0.62	0.0392887761414	0.0167191492055	-0.00623869000083	-0.00183722229656
0.64	0.64	0.0394092179452	0.0167545410498	-0.0062148271922	-0.00202320632506
0.66	0.66	0.0395243881074	0.0167916958939	-0.00618193619042	-0.00221801374423
0.68	0.68	0.0396336258494	0.0168304356292	-0.00613951802127	-0.00242265148543
0.7	0.7	0.0397362703926	0.0168705821473	-0.00608707371054	-0.00263812648002
0.72	0.72	0.0398316609584	0.0169119573399	-0.006024104284	-0.00286544565938
0.74	0.74	0.0399191367684	0.0169543830984	-0.00595011076743	-0.00310561595487
0.76	0.76	0.0399980370439	0.0169976813145	-0.00586459418662	-0.00335964429787
0.78	0.78	0.0400677010064	0.0170416738798	-0.00576705556735	-0.00362853761974
0.8	0.8	0.0401274678773	0.0170861826858	-0.0056569959354	-0.00391330285185
0.82	0.82	0.0401766768781	0.0171310296241	-0.00553391631655	-0.00421494692557
0.84	0.84	0.0402146672302	0.0171760365862	-0.00539731773658	-0.00453447677226
0.86	0.86	0.0402407781551	0.0172210254638	-0.00524670122127	-0.00487289932331
0.88	0.88	0.0402543488742	0.0172658181485	-0.00508156779641	-0.00523122151006
0.9	0.9	0.0402547186089	0.0173102365318	-0.00490141848778	-0.0056104502639
0.92	0.92	0.0402412265806	0.0173541025052	-0.00470575432115	-0.00601159251619
0.94	0.94	0.0402132120109	0.0173972379604	-0.00449407632231	-0.0064356551983
0.96	0.96	0.0401700141212	0.017439464789	-0.00426588551705	-0.0068836452416
0.98	0.98	0.0401109721328	0.0174806048824	-0.00402068293113	-0.00735656957746
1	1	0.0400354252673	0.0175204801324	-0.00375796959035	-0.00785543513724
