# RussianDoll Interpolation Data - Frame 38
# =================================================
# Z range: [0, 1]
# Polynomial order: 5
# Leakage coefficient (gamma): 1
#
# Pressure polynomial coefficients p_v(t) = sum_i c_i * t^i
# where t = (z - z_min) / (z_max - z_min)
[pressure_coefficients]
c0 = 0.0111881657196
c1 = -0.0020445678561
c2 = 0.00801629255884
c3 = 0.0201836113075
c4 = -0.0746375214884
c5 = 0.0491588723063

[displacement_x_coefficients]
c0 = 0.0178378801905
c1 = 0.00151894435319
c2 = -0.0148375921142
c3 = 0.00636540271838
c4 = 0.0459189225816
c5 = -0.0418043217501

[displacement_y_coefficients]
c0 = -0.00329793807147
c1 = -0.0156766714368
c2 = 0.0586792023072
c3 = -0.0886832857264
c4 = 0.0566793953143
c5 = -0.0140067688174

[displacement_z_coefficients]
c0 = 0.00452448206803
c1 = -0.0117332287625
c2 = 0.00234245464938
c3 = 0.0555169632556
c4 = -0.0883525615365
c5 = 0.0393810406752

# Polynomial values at sampled z:
# z	t	p_v(z)	u_x(z)	u_y(z)	u_z(z)
[sampled_values]
0	0	0.0111881657196	0.0178378801905	-0.00329793807147	0.00452448206803
0.02	0.02	0.0111506305637	0.0178623821772	-0.00358870026168	0.00429118459996
0.04	0.04	0.0111203147864	0.0178754184747	-0.00383665027058	0.00406223178068
0.06	0.06	0.0110977808852	0.0178775390492	-0.00404572514579	0.00383979841658
0.08	0.08	0.0110833425034	0.0178694380901	-0.00421965504329	0.00362575028485
0.1	0.1	0.0110770833075	0.0178519379564	-0.00436196860596	0.00342165925579
0.12	0.12	0.0110788758637	0.0178259731248	-0.00447599834221	0.00322881841514
0.14	0.14	0.0110884005152	0.0177925741361	-0.00456488600457	0.00304825718643
0.16	0.16	0.0111051642594	0.0177528515427	-0.00463158796828	0.00288075645324
0.18	0.18	0.0111285196242	0.0177079798555	-0.00467888060989	0.00272686368156
0.2	0.2	0.011157683546	0.0176591814915	-0.00470936568587	0.00258690804212
0.22	0.22	0.0111917562457	0.0176077107202	-0.00472547571123	0.00246101553265
0.24	0.24	0.0112297401066	0.0175548376117	-0.00472947933805	0.00234912410029
0.26	0.26	0.0112705585507	0.0175018319827	-0.00472348673415	0.00225099876381
0.28	0.28	0.0113130749162	0.0174499473447	-0.00470945496168	0.00216624673603
0.3	0.3	0.0113561113341	0.0174004048506	-0.00468919335566	0.00209433254603
0.32	0.32	0.0113984676055	0.0173543772418	-0.00466436890265	0.00203459316158
0.34	0.34	0.0114389400787	0.0173129727955	-0.0046365116193	0.00198625311139
0.36	0.36	0.0114763405258	0.0172772192719	-0.00460701993101	0.00194843960743
0.38	0.38	0.01150951502	0.0172480478612	-0.00457716605043	0.0019201976673
0.4	0.4	0.0115373628126	0.0172262771308	-0.00454810135617	0.00190050523648
0.42	0.42	0.0115588552099	0.0172125969724	-0.00452086177133	0.00188828831073
0.44	0.44	0.0115730544502	0.0172075525493	-0.00449637314209	0.00188243605832
0.46	0.46	0.0115791325811	0.0172115282431	-0.00447545661638	0.00188181594243
0.48	0.48	0.0115763903359	0.0172247316015	-0.0044588340224	0.00188528884342
0.5	0.5	0.0115642760113	0.017247177285	-0.00444713324727	0.00189172418116
0.52	0.52	0.0115424043439	0.0172786710139	-0.00444089361562	0.00190001503738
0.54	0.54	0.0115105753875	0.0173187935161	-0.00444057126817	0.00190909327793
0.56	0.56	0.0114687933899	0.0173668844734	-0.00444654454035	0.00191794467516
0.58	0.58	0.0114172856701	0.0174220264692	-0.00445911934087	0.00192562403021
0.6	0.6	0.0113565214952	0.0174830289357	-0.00447853453037	0.00193127029531
0.62	0.62	0.0112872309574	0.0175484121006	-0.00450496729998	0.00193412169615
0.64	0.64	0.0112104238509	0.0176163909344	-0.00453853854992	0.00193353085416
0.66	0.66	0.0111274085492	0.0176848590979	-0.00457931826811	0.00192897990885
0.68	0.68	0.0110398108819	0.0177513728889	-0.00462733090878	0.00192009564011
0.7	0.7	0.0109495930118	0.0178131351894	-0.00468256077104	0.00190666459054
0.72	0.72	0.0108590723118	0.0178669794131	-0.00474495737751	0.00188864818778
0.74	0.74	0.0107709402418	0.017909353452	-0.00481444085288	0.00186619786683
0.76	0.76	0.0106882812261	0.017936303624	-0.00489090730258	0.00183967019234
0.78	0.78	0.0106145915302	0.0179434586198	-0.00497423419128	0.00180964198095
0.8	0.8	0.0105537981375	0.0179260134501	-0.00506428572158	0.00177692542362
0.82	0.82	0.010510277627	0.0178787133927	-0.00516091821256	0.00174258320795
0.84	0.84	0.0104888750494	0.0177958379397	-0.00526398547838	0.00170794364045
0.86	0.86	0.010494922805	0.0176711847448	-0.00537334420691	0.00167461576894
0.88	0.88	0.0105342595202	0.01749805357	-0.00548885933831	0.0016445045048
0.9	0.9	0.0106132489246	0.0172692302331	-0.0056104094436	0.00161982574533
0.92	0.92	0.0107387987279	0.0169769705547	-0.00573789210331	0.00160312149606
0.94	0.94	0.0109183794973	0.0166129843056	-0.00587122928607	0.00159727499305
0.96	0.96	0.011160043534	0.0161684191534	-0.00601037272716	0.00160552582524
0.98	0.98	0.0114724437506	0.0156338446101	-0.00615530930718	0.00163148505676
1	1	0.0118648525478	0.0149992359793	-0.0063060664306	0.00167915034923
